state,population,age,age_x_population,ave_age,population_eligible,ave_age_eligible,population_eligible_white,ave_age_eligible_white,urban_population,pct_urban,pct_rural,state,hc_key,state_abbv,votes_dem2004,votes_rep2004,votes_total2004,pct_dem2004,pct_rep2004,pct_dem_rep_gap2004,pct_dem_rep_gap_abs2004,r_wins2004,winner2004,votes_dem2008,votes_rep2008,votes_total2008,pct_dem2008,pct_rep2008,pct_dem_rep_gap2008,pct_dem_rep_gap_abs2008,r_wins2008,winner2008,votes_dem2012,votes_rep2012,votes_3rd2012,votes_total2012,pct_dem2012,pct_rep2012,pct_dem_rep_gap2012,pct_dem_rep_gap_abs2012,r_wins2012,winner2012,votes_total2016,votes_dem2016,votes_rep2016,votes_lib2016,pct_dem2016,pct_rep2016,pct_dem_rep_gap2016,pct_dem_rep_gap_abs2016,r_wins2016,winner2016,r_wins_last4,white_population,pct_white,white_population_eligible,pct_white_eligible,hispanic_population,pct_hispanic,hispanic_population_eligible,pct_hispanic_eligible,native_american_population,pct_native_american,native_american_population_eligible,pct_native_american_eligible,black_population,pct_black,black_population_eligible,pct_black_eligible,pacific_islander_population,pct_pacific_islander,pacific_islander_population_eligible,pct_pacific_islander_eligible,asian_population,pct_asian,asian_population_eligible,pct_asian_eligible,two_or_more_races_population,pct_two_or_more_races,two_or_more_races_population_eligible,pct_two_or_more_races_eligible,other_population,pct_other,other_population_eligible,pct_other_eligible,ec_votes,ec_votes_per_voter,ec_representation_pct_ave,senate_representation_pct_ave
New York,19377688,80800,736845331,38.0,15052759,46.4,9098028,48.9,9815626.0,50.7,49.3,New York,us-ny,NY,4314280.0,2962567.0,7391036.0,58.4,40.1,18.3,18.3,False,democrat,4645332.0,2418323.0,7640931.0,60.8,31.6,29.2,29.2,False,democrat,4485741.0,2490431.0,"104,987",7081159.0,63.3,35.2,28.1,28.1,False,democrat,7706777.0,4547218.0,2814346.0,176289.0,59.0,36.5,22.5,22.5,False,democrat,0,11303979,58.3,9098028,60.4,3416880,17.6,2444358,16.2,53905,0.3,39139,0.3,2783784,14.4,2095373,13.9,5317,0.0,4199,0.0,1406173,7.3,1120040,7.4,326030,1.7,194942,1.3,81620,0.4,56680,0.4,29,1.9265571182e-06,85.0,32.0
North Carolina,9535373,80800,355368841,37.3,7253738,46.3,4964267,48.4,3060199.0,32.1,67.9,North Carolina,us-nc,NC,1525849.0,1961166.0,3501007.0,43.6,56.0,-12.4,12.4,True,republican,2142651.0,2128474.0,4310789.0,49.7,49.4,0.3,0.3,False,democrat,2178391.0,2270395.0,"56,586",4505372.0,48.4,50.4,-2.0,2.0,True,republican,4741564.0,2189316.0,2362631.0,130126.0,46.2,49.8,-3.6,3.6,True,republican,3,6223937,65.3,4964267,68.4,800115,8.4,492325,6.8,108828,1.1,79294,1.1,2019809,21.2,1480724,20.4,5259,0.1,3791,0.1,206579,2.2,152537,2.1,155758,1.6,73633,1.0,15088,0.2,7167,0.1,15,2.06789933687e-06,91.0,65.0
North Dakota,672577,80800,25618881,38.1,522706,46.6,475672,47.5,189490.0,28.2,71.8,North Dakota,us-nd,ND,111052.0,196651.0,312833.0,35.5,62.9,-27.4,27.4,True,republican,141278.0,168601.0,316621.0,44.6,53.3,-8.7,8.7,True,republican,124827.0,188163.0,"9,637",322627.0,38.7,58.3,-19.6,19.6,True,republican,344360.0,93758.0,216794.0,21434.0,27.2,63.0,-35.8,35.8,True,republican,4,597993,88.9,475672,91.0,13467,2.0,8064,1.5,35562,5.3,22786,4.4,7720,1.1,5157,1.0,290,0.0,219,0.0,6839,1.0,5563,1.1,10365,1.5,5048,1.0,341,0.1,197,0.0,3,5.73936400194e-06,253.0,908.0
Ohio,11536380,80800,441216841,38.2,8805629,47.4,7330319,48.3,2433689.0,21.1,78.9,Ohio,us-oh,OH,2741167.0,2859768.0,5627908.0,48.7,50.8,-2.1,2.1,True,republican,2940044.0,2677820.0,5708350.0,51.5,46.9,4.6,4.6,False,democrat,2827709.0,2661437.0,"91,701",5580847.0,50.7,47.7,3.0,3.0,False,democrat,5496487.0,2394164.0,2841005.0,174498.0,43.6,51.7,-8.1,8.1,True,republican,2,9359157,81.1,7330319,83.2,354670,3.1,218920,2.5,20905,0.2,16697,0.2,1389103,12.0,993004,11.3,3400,0.0,2389,0.0,190764,1.7,145507,1.7,203223,1.8,92106,1.0,15158,0.1,6687,0.1,18,2.04414698825e-06,90.0,54.0
Oklahoma,3751312,80800,138820437,37.0,2821646,46.4,2055476,48.5,1448995.0,38.6,61.4,Oklahoma,us-ok,OK,503966.0,959792.0,1463758.0,34.4,65.6,-31.2,31.2,True,republican,502496.0,960165.0,1462661.0,34.4,65.6,-31.2,31.2,True,republican,443547.0,891325.0,0,1334872.0,33.2,66.8,-33.6,33.6,True,republican,1452992.0,420375.0,949136.0,83481.0,28.9,65.3,-36.4,36.4,True,republican,4,2575353,68.7,2055476,72.8,332007,8.9,199457,7.1,308731,8.2,207881,7.4,272062,7.3,195537,6.9,3977,0.1,2701,0.1,64154,1.7,48930,1.7,192074,5.1,109872,3.9,2954,0.1,1792,0.1,7,2.48082147796e-06,109.0,168.0
Oregon,3831033,80800,147055233,38.4,2964580,47.1,2432804,48.8,1436509.0,37.5,62.5,Oregon,us-or,OR,943163.0,866831.0,1836782.0,51.3,47.2,4.1,4.1,False,democrat,1037291.0,738475.0,1827864.0,56.7,40.4,16.3,16.3,False,democrat,970488.0,754175.0,"64,607",1789270.0,54.2,42.1,12.1,12.1,False,democrat,2001336.0,1002106.0,782403.0,94231.0,50.1,39.1,11.0,11.0,False,democrat,0,3005817,78.5,2432804,82.1,450059,11.7,269745,9.1,42705,1.1,31861,1.1,64982,1.7,46944,1.6,12696,0.3,8812,0.3,139435,3.6,108222,3.7,109837,2.9,62407,2.1,5502,0.1,3785,0.1,7,2.3612113689e-06,104.0,160.0
Pennsylvania,12702220,80800,499792453,39.3,9910065,48.0,8111164,49.3,2330856.0,18.3,81.7,Pennsylvania,us-pa,PA,2938095.0,2793847.0,5769590.0,50.9,48.4,2.5,2.5,False,democrat,3276363.0,2655885.0,6013272.0,54.5,44.2,10.3,10.3,False,democrat,2990274.0,2680434.0,"82,962",5753670.0,52.0,46.6,5.4,5.4,False,democrat,6115402.0,2926441.0,2970733.0,146715.0,47.9,48.6,-0.7,0.7,True,republican,1,10094540,79.5,8111164,81.8,719652,5.7,459413,4.6,16909,0.1,13163,0.1,1327055,10.4,963830,9.7,2715,0.0,2109,0.0,346286,2.7,264674,2.7,178594,1.4,86329,0.9,16469,0.1,9383,0.1,20,2.01815023413e-06,89.0,48.0
Puerto Rico,3725687,80800,140262620,37.6,2822392,46.8,22298,46.9,990226.0,26.6,73.4,Puerto Rico,us-pr,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26945,0.7,22298,0.8,3688354,99.0,2791681,98.9,329,0.0,266,0.0,4663,0.1,3805,0.1,77,0.0,63,0.0,2930,0.1,2470,0.1,1363,0.0,1051,0.0,1026,0.0,758,0.0,0,0.0,0.0,0.0
Rhode Island,1052551,80800,40948918,38.9,828595,47.0,660809,49.0,413562.0,39.3,60.7,Rhode Island,us-ri,RI,259760.0,169046.0,437134.0,59.4,38.7,20.7,20.7,False,democrat,296571.0,165391.0,471766.0,62.9,35.1,27.8,27.8,False,democrat,279677.0,157204.0,"9,168",446049.0,62.7,35.2,27.5,27.5,False,democrat,464144.0,252525.0,180543.0,14746.0,54.4,38.9,15.5,15.5,False,democrat,0,803671,76.4,660809,79.8,130655,12.4,84715,10.2,4020,0.4,2933,0.4,51559,4.9,37224,4.5,305,0.0,240,0.0,29988,2.8,23257,2.8,23478,2.2,13016,1.6,8875,0.8,6401,0.8,4,4.8274488743e-06,213.0,573.0
South Carolina,4625290,80800,174482376,37.7,3544816,46.6,2365733,48.5,533657.0,11.5,88.5,South Carolina,us-sc,SC,661699.0,937974.0,1617730.0,40.9,58.0,-17.1,17.1,True,republican,862449.0,1034896.0,1920969.0,44.9,53.9,-9.0,9.0,True,republican,865941.0,1071645.0,"26,532",1964118.0,44.1,54.6,-10.5,10.5,True,republican,2103027.0,855373.0,1155389.0,49204.0,40.7,54.9,-14.2,14.2,True,republican,4,2962706,64.1,2365733,66.7,235680,5.1,154174,4.3,16614,0.4,12613,0.4,1279960,27.7,932854,26.3,2113,0.0,1562,0.0,58307,1.3,44696,1.3,64196,1.4,30359,0.9,5714,0.1,2825,0.1,9,2.53891880425e-06,112.0,134.0
South Dakota,814159,80800,30594588,37.6,611362,47.3,537048,48.5,245098.0,30.1,69.9,South Dakota,us-sd,SD,149244.0,232584.0,388215.0,38.4,59.9,-21.5,21.5,True,republican,170924.0,203054.0,381975.0,44.7,53.2,-8.5,8.5,True,republican,145039.0,210610.0,"8,166",363815.0,39.9,57.9,-18.0,18.0,True,republican,370093.0,117458.0,227721.0,20850.0,31.7,61.5,-29.8,29.8,True,republican,4,689481,84.7,537048,87.8,22119,2.7,12917,2.1,69476,8.5,42323,6.9,9959,1.2,6377,1.0,313,0.0,237,0.0,7553,0.9,5522,0.9,14800,1.8,6696,1.1,458,0.1,242,0.0,3,4.90707633121e-06,217.0,777.0
Tennessee,6346028,80800,239496625,37.7,4850027,46.7,3787524,48.2,2152560.0,33.9,66.1,Tennessee,us-tn,TN,1036477.0,1384375.0,2437319.0,42.5,56.8,-14.3,14.3,True,republican,1087437.0,1479178.0,2599749.0,41.8,56.9,-15.1,15.1,True,republican,960709.0,1462330.0,"35,538",2458577.0,39.1,59.5,-20.4,20.4,True,republican,2508027.0,870695.0,1522925.0,70397.0,34.7,60.7,-26.0,26.0,True,republican,4,4800729,75.6,3787524,78.1,290058,4.6,182005,3.8,16301,0.3,13004,0.3,1049371,16.5,750633,15.5,2766,0.0,2016,0.0,90310,1.4,67287,1.4,90071,1.4,44546,0.9,6422,0.1,3012,0.1,11,2.26802861097e-06,100.0,98.0
Texas,25145327,80800,871786857,34.7,18279503,44.5,9074572,48.1,14299983.0,56.9,43.1,Texas,us-tx,TX,2832704.0,4526917.0,7410765.0,38.2,61.1,-22.9,22.9,True,republican,3528633.0,4479328.0,8077795.0,43.7,55.5,-11.8,11.8,True,republican,3308124.0,4569843.0,"115,884",7993851.0,41.4,57.2,-15.8,15.8,True,republican,8969226.0,3877868.0,4685047.0,283492.0,43.2,52.2,-9.0,9.0,True,republican,4,11397233,45.3,9074572,49.6,9460874,37.6,6143097,33.6,80581,0.3,61851,0.3,2886766,11.5,2076223,11.4,17920,0.1,12912,0.1,948419,3.8,716961,3.9,319554,1.3,172682,0.9,33980,0.1,21205,0.1,38,2.07883113671e-06,92.0,26.0
Utah,2763875,80800,87917102,31.8,1892848,42.7,1563559,43.8,1050591.0,38.0,62.0,Utah,us-ut,UT,241199.0,663742.0,927844.0,26.0,71.5,-45.5,45.5,True,republican,327670.0,596030.0,952370.0,34.4,62.6,-28.2,28.2,True,republican,251813.0,740600.0,"25,027",1017440.0,24.7,72.8,-48.1,48.1,True,republican,1131430.0,310676.0,515231.0,39608.0,27.5,45.5,-18.0,18.0,True,republican,4,2221710,80.4,1563559,82.6,358340,13.0,214494,11.3,27080,1.0,18437,1.0,25951,0.9,16407,0.9,23909,0.9,14719,0.8,54176,2.0,41758,2.2,48985,1.8,21188,1.1,3724,0.1,2286,0.1,6,3.16982663162e-06,140.0,251.0
Vermont,625736,80800,24908567,39.8,496503,47.8,472554,48.2,0.0,0.0,100.0,Vermont,us-vt,VT,184067.0,121180.0,312309.0,58.9,38.8,20.1,20.1,False,democrat,219262.0,98974.0,325046.0,67.5,30.4,37.1,37.1,False,democrat,199239.0,92698.0,"7,353",299290.0,66.6,31.0,35.6,35.6,False,democrat,315067.0,178573.0,95369.0,10078.0,56.7,30.3,26.4,26.4,False,democrat,0,590218,94.3,472554,95.2,9208,1.5,6328,1.3,2023,0.3,1619,0.3,5943,0.9,3840,0.8,140,0.0,117,0.0,7875,1.3,5876,1.2,9792,1.6,5822,1.2,537,0.1,347,0.1,3,6.04225956339e-06,267.0,956.0
Virginia,8000919,80800,298060115,37.3,6147242,45.9,4133318,47.8,2363622.0,29.5,70.5,Virginia,us-va,VA,1454742.0,1716959.0,3198367.0,45.5,53.7,-8.2,8.2,True,republican,1959532.0,1725005.0,3723260.0,52.6,46.3,6.3,6.3,False,democrat,1971820.0,1822522.0,"60,147",3854489.0,51.2,47.3,3.9,3.9,False,democrat,3982752.0,1981473.0,1769443.0,118274.0,49.8,44.4,5.4,5.4,False,democrat,1,5186383,64.8,4133318,67.2,631824,7.9,426856,6.9,20679,0.3,16173,0.3,1523670,19.0,1134981,18.5,5061,0.1,3958,0.1,436296,5.5,334138,5.4,181668,2.3,89985,1.5,15338,0.2,7833,0.1,13,2.11476951778e-06,93.0,77.0
Washington,6724461,80800,250838816,37.3,5143107,46.1,3916245,48.1,2500107.0,37.2,62.8,Washington,us-wa,WA,1510201.0,1304894.0,2859084.0,52.8,45.6,7.2,7.2,False,democrat,1750848.0,1229216.0,3036878.0,57.7,40.5,17.2,17.2,False,democrat,1755396.0,1290670.0,"79,450",3125516.0,56.2,41.3,14.9,14.9,False,democrat,3209214.0,1742718.0,1221747.0,160879.0,54.3,38.1,16.2,16.2,False,democrat,0,4876745,72.5,3916245,76.1,755783,11.2,456348,8.9,88734,1.3,64573,1.3,229600,3.4,168174,3.3,38783,0.6,26642,0.5,475626,7.1,373965,7.3,247352,3.7,129553,2.5,11838,0.2,7607,0.1,12,2.33321997773e-06,103.0,92.0
West Virginia,1852968,80800,74423174,40.2,1465550,48.5,1376778,48.8,0.0,0.0,100.0,West Virginia,us-wv,WV,326541.0,423778.0,755887.0,43.2,56.1,-12.9,12.9,True,republican,303857.0,397466.0,713451.0,42.6,55.7,-13.1,13.1,True,republican,238269.0,417655.0,"14,514",670438.0,35.5,62.3,-26.8,26.8,True,republican,713051.0,188794.0,489371.0,23004.0,26.5,68.6,-42.1,42.1,True,republican,4,1726233,93.2,1376778,93.9,22268,1.2,14764,1.0,3493,0.2,2902,0.2,62119,3.4,48115,3.3,387,0.0,305,0.0,12285,0.7,9825,0.7,24991,1.3,12293,0.8,1192,0.1,568,0.0,5,3.41168844461e-06,151.0,324.0
Wisconsin,5686905,80800,216381194,38.0,4347413,47.1,3753601,48.4,1413145.0,24.8,75.2,Wisconsin,us-wi,WI,1489504.0,1478120.0,2997007.0,49.7,49.3,0.4,0.4,False,democrat,1677211.0,1262393.0,2983417.0,56.2,42.3,13.9,13.9,False,democrat,1620985.0,1407966.0,"39,483",3068434.0,52.8,45.9,6.9,6.9,False,democrat,2976150.0,1382536.0,1405284.0,106674.0,46.5,47.2,-0.7,0.7,True,republican,1,4738339,83.3,3753601,86.3,336052,5.9,199818,4.6,48511,0.9,34419,0.8,350895,6.2,234523,5.4,1565,0.0,1200,0.0,128050,2.3,86608,2.0,79398,1.4,35131,0.8,4095,0.1,2113,0.0,10,2.30021854376e-06,101.0,109.0
Wyoming,563623,80800,20946860,37.2,428221,46.3,376529,47.1,0.0,0.0,100.0,Wyoming,us-wy,WY,70776.0,167629.0,243428.0,29.1,68.9,-39.8,39.8,True,republican,82868.0,164958.0,254658.0,32.5,64.8,-32.3,32.3,True,republican,69286.0,170962.0,"8,813",249061.0,27.8,68.6,-40.8,40.8,True,republican,255849.0,55973.0,174419.0,13287.0,21.9,68.2,-46.3,46.3,True,republican,4,483873,85.9,376529,87.9,50231,8.9,32070,7.5,11784,2.1,7764,1.8,4350,0.8,3264,0.8,365,0.1,264,0.1,4279,0.8,3493,0.8,8304,1.5,4561,1.1,437,0.1,276,0.1,3,7.00572835055e-06,309.0,1109.0
